State,Year,Crime,Crime_Description,City,Evidence_Details,Police_Department,Case_Status,Convictions,Acquittals
West Bengal,1975,Fraud,Insurance fraud scheme,Siliguri,Audio recordings,Fraud Investigation Unit,Under Investigation,Not convicted,Yes
Punjab,1998,Organized Crime,Organized crime syndicate implicated in large-scale money laundering operation,Pathankot,Property ownership documents,Special Operations Division,Under Investigation,Convicted,Yes
Goa,1976,Child Abduction,Amber Alert issued for missing child,Panaji,Confession statements,K-9 Unit,Closed,Partially convicted,No
Madhya Pradesh,1980,Assault,Domestic dispute turned violent,Dewas,Vehicle registration records,Bureau of Investigation,Closed,Not convicted,No
Kerala,1970,Money Laundering,Shell corporations established to disguise illicit funds as legitimate income,Kollam,Financial transactions,Narcotics Division,Closed,Convicted,Yes
Odisha,1999,Assault,Street fight between two individuals,Brahmapur,Bank statements,Special Investigations Unit,Open,Partially convicted,No
Rajasthan,1983,Drug Trafficking,Drug mules apprehended at an airport carrying drugs in their luggage,Kota,Eyewitness accounts,Traffic Enforcement Unit,Under Investigation,Partially convicted,Yes
Odisha,2020,Drug Possession,Possession of illegal substances during a traffic stop,Bhadrak,Video surveillance footage,Special Operations Division,Open,Not convicted,Yes
Uttarakhand,2001,Terrorism,Chemical attack in a subway station,Kashipur,Vehicle registration records,Traffic Enforcement Unit,Open,Convicted,No
Jharkhand,1997,Hate Crime,Racist hate group targets minority community with threats and intimidation,Hazaribagh,Property ownership documents,State Police Department,Under Investigation,Partially convicted,Yes
Manipur,1988,Public Corruption,Government contractor charged with fraud in connection with public projects,Thoubal,Financial transactions,City Police Department,Under Investigation,Partially convicted,No
Kerala,2022,Terrorism,Bombing at a crowded public event,Palakkad,Phone records,Narcotics Division,Open,Convicted,Yes
Mizoram,1974,Car Theft,Luxury SUV stolen from a suburban driveway overnight,Lawngtlai,Financial transactions,Community Policing Unit,Open,Partially convicted,No
Jharkhand,2023,Theft,Package theft from porches,Medininagar,Witness statements,Victim Services Division,Open,Partially convicted,Yes
Manipur,2016,Robbery,Armed robbery at a convenience store,Imphal,Bank statements,K-9 Unit,Closed,Not convicted,Yes
Arunachal Pradesh,1971,Public Intoxication,Drunken disorderly conduct at a bar,Tezu,Confession statements,Metropolitan Police Department,Open,Partially convicted,Yes
Tamil Nadu,1997,Vandalism,Defacing a monument,Coimbatore,Bank statements,SWAT Team,Under Investigation,Not convicted,Yes
Nagaland,1976,Embezzlement,Misappropriation of funds by a financial advisor,Zunheboto,"Physical evidence (e.g., fingerprints, DNA)",Criminal Investigation Division,Open,Convicted,No
Goa,2022,Terrorism,Bombing at a crowded public event,Mormugao,Photographic evidence,Criminal Investigation Division,Under Investigation,Not convicted,Yes
Sikkim,1996,Vandalism,Smashing car windows in a parking lot,Mangan,Audio recordings,Bureau of Investigation,Closed,Not convicted,Yes
Haryana,1975,Domestic Violence,Stalking by an ex-partner,Hisar,Eyewitness accounts,Community Policing Unit,Open,Convicted,Yes
Rajasthan,1996,Burglary,Break-in at a suburban home,Bhilwara,Crime scene photographs,State Police Department,Closed,Convicted,No
Chhattisgarh,1990,Robbery,Armed robbery at a convenience store,Raigarh,Bank statements,Narcotics Division,Closed,Convicted,No
Maharashtra,1972,Human Trafficking,Human smuggling operation intercepted at the border,Pune,Expert witness testimony,Highway Patrol,Open,Convicted,Yes
Uttarakhand,2023,Vandalism,Smashing car windows in a parking lot,Pithoragarh,Financial transactions,Homicide Unit,Closed,Convicted,Yes
Arunachal Pradesh,2007,Forgery,Forgery of legal documents for identity theft,Ziro,"Physical evidence (e.g., fingerprints, DNA)",City Police Department,Open,Not convicted,No
Assam,1979,Robbery,Bank robbery with hostages,Sibsagar,Photographic evidence,SWAT Team,Closed,Partially convicted,Yes
Uttarakhand,1999,Embezzlement,Misappropriation of funds by a financial advisor,Haldwani,"Physical evidence (e.g., fingerprints, DNA)",Narcotics Division,Closed,Partially convicted,No
Haryana,2010,Terrorism,Bombing at a crowded public event,Panipat,"Physical evidence (e.g., fingerprints, DNA)",Major Crimes Unit,Closed,Convicted,No
Himachal Pradesh,2021,White-Collar Crime,Counterfeiting money operation,Solan,Vehicle registration records,Criminal Investigation Division,Open,Partially convicted,No
Uttar Pradesh,1973,Kidnapping,Hostage situation at a bank,Lucknow,Eyewitness accounts,Metropolitan Police Department,Under Investigation,Convicted,Yes
Mizoram,1993,Drug Trafficking,Undercover sting operation targeting drug dealers in a high-crime area,Khawzawl,Audio recordings,Special Operations Division,Open,Convicted,No
Gujarat,2017,Terrorism,Cyberterrorism targeting critical infrastructure,Jamnagar,Expert witness testimony,Metropolitan Police Department,Open,Partially convicted,Yes
Bihar,2006,Vandalism,Defacing a monument,Katihar,Phone records,Forensic Science Division,Closed,Not convicted,Yes
Tripura,2018,Assault,Physical altercation at a bar,Belonia,Video surveillance footage,Homicide Unit,Open,Partially convicted,No
Karnataka,2010,Assault,Street fight between two individuals,Bijapur,Medical reports,Traffic Enforcement Unit,Under Investigation,Convicted,No
Kerala,2010,Domestic Violence,Spousal abuse in a domestic setting,Kannur,Character witness testimonies,State Police Department,Closed,Partially convicted,Yes
Karnataka,1995,Human Trafficking,"Forced labor operation discovered, exploiting migrant workers",Gulbarga,Bank statements,Narcotics Division,Closed,Not convicted,No
Kerala,2020,Money Laundering,Offshore bank accounts utilized to conceal proceeds from criminal activities,Thiruvananthapuram,Financial transactions,K-9 Unit,Under Investigation,Partially convicted,No
Telangana,2007,Fraud,Credit card fraud,Adilabad,Phone records,K-9 Unit,Open,Convicted,No
Arunachal Pradesh,1986,Fraudulent Schemes,"Ponzi scheme collapses, defrauding investors of millions of dollars",Ziro,Eyewitness accounts,Cyber Crimes Unit,Closed,Partially convicted,Yes
Chhattisgarh,2013,Child Abduction,Amber Alert issued for missing child,Durg,Video surveillance footage,Victim Services Division,Open,Convicted,Yes
Madhya Pradesh,2022,Robbery,Armed robbery at a convenience store,Bhopal,Confession statements,Metropolitan Police Department,Closed,Not convicted,Yes
Uttar Pradesh,2018,Vandalism,Defacing a monument,Allahabad,Forensic analysis reports,Bureau of Investigation,Under Investigation,Partially convicted,Yes
Punjab,1993,Drug Trafficking,"Large drug bust at a warehouse, seizing tons of illicit substances",Pathankot,Expert witness testimony,City Police Department,Open,Not convicted,Yes
Haryana,1999,White-Collar Crime,Insider trading on the stock market,Sonipat,Audio recordings,K-9 Unit,Closed,Not convicted,No
West Bengal,2021,Cybercrime,Identity theft through phishing emails,Asansol,Expert witness testimony,Bureau of Investigation,Closed,Partially convicted,Yes
Arunachal Pradesh,2008,Burglary,Shoplifting at a local store,Tezu,"Digital evidence (e.g., emails, text messages)",Fraud Investigation Unit,Under Investigation,Partially convicted,No
Mizoram,1975,Drug Trafficking,Drug mules apprehended at an airport carrying drugs in their luggage,Lawngtlai,Phone records,Highway Patrol,Closed,Convicted,No
Arunachal Pradesh,1979,Terrorism,Cyberterrorism targeting critical infrastructure,Pasighat,Eyewitness accounts,Major Crimes Unit,Under Investigation,Convicted,Yes
Gujarat,1984,Embezzlement,Employee theft from a retail store,Vadodara,Expert witness testimony,Community Policing Unit,Under Investigation,Partially convicted,No
Tamil Nadu,2006,Kidnapping,Virtual kidnapping scam,Chennai,Audio recordings,Narcotics Division,Open,Convicted,Yes
Rajasthan,1972,Arson,Wildfire arson in a forest,Bikaner,Audio recordings,K-9 Unit,Under Investigation,Partially convicted,Yes
Arunachal Pradesh,2010,Cybercrime,Social media account hacking,Ziro,Expert witness testimony,Fraud Investigation Unit,Open,Convicted,No
Nagaland,2001,Theft,Grand theft auto of a luxury vehicle,Tuensang,Confession statements,SWAT Team,Under Investigation,Convicted,Yes
Karnataka,1994,Terrorism,Bombing at a crowded public event,Hubli,"Digital evidence (e.g., emails, text messages)",Forensic Science Division,Open,Partially convicted,Yes
Odisha,2007,Sexual Assault,Date rape at a college party,Brahmapur,Eyewitness accounts,Major Crimes Unit,Under Investigation,Not convicted,Yes
Andhra Pradesh,2005,Car Theft,"Vehicle theft ring dismantled by police, recovering multiple stolen cars",Kakinada,Character witness testimonies,Major Crimes Unit,Closed,Not convicted,No
Haryana,2006,Hate Crime,Assault on LGBTQ+ individual in a hate-motivated attack,Faridabad,Video surveillance footage,Metropolitan Police Department,Open,Partially convicted,Yes
Rajasthan,1987,Organized Crime,"Gang violence escalates, leading to multiple homicides",Ajmer,Bank statements,State Police Department,Closed,Convicted,No
Manipur,2004,Public Corruption,Government contractor charged with fraud in connection with public projects,Mayang Imphal,Forensic analysis reports,Special Operations Division,Closed,Not convicted,No
Haryana,1991,Fraudulent Schemes,"Ponzi scheme collapses, defrauding investors of millions of dollars",Panchkula,Financial transactions,K-9 Unit,Open,Partially convicted,No
Rajasthan,1995,Robbery,Bank robbery with hostages,Sikar,Financial transactions,Forensic Science Division,Closed,Not convicted,Yes
Madhya Pradesh,2021,Public Intoxication,Drunken disorderly conduct at a bar,Sagar,Forensic analysis reports,Special Operations Division,Under Investigation,Convicted,No
Andhra Pradesh,1974,Car Theft,"Chop shop operation busted, dismantling stolen cars for parts",Kadapa,Confession statements,K-9 Unit,Open,Convicted,Yes
Himachal Pradesh,2003,Fraudulent Schemes,Telemarketing scam deceives elderly victims into wiring money,Hamirpur,Audio recordings,Highway Patrol,Open,Convicted,No
Haryana,1996,Car Theft,"Vehicle theft ring dismantled by police, recovering multiple stolen cars",Hisar,Confession statements,Special Investigations Unit,Closed,Convicted,Yes
Arunachal Pradesh,2006,Kidnapping,Virtual kidnapping scam,Daporijo,Character witness testimonies,Special Operations Division,Under Investigation,Not convicted,Yes
Arunachal Pradesh,1994,Kidnapping,Hostage situation at a bank,Daporijo,Crime scene photographs,Victim Services Division,Open,Convicted,No
Odisha,2017,Money Laundering,Offshore bank accounts utilized to conceal proceeds from criminal activities,Rourkela,Forensic analysis reports,Highway Patrol,Open,Partially convicted,Yes
Tamil Nadu,1998,Organized Crime,Mafia family indicted on charges of racketeering and extortion,Tirunelveli,Vehicle registration records,K-9 Unit,Closed,Convicted,No
Gujarat,2017,Vandalism,Defacing a monument,Gandhinagar,Vehicle registration records,Highway Patrol,Closed,Convicted,Yes
Arunachal Pradesh,1979,Arson,Setting fire to a vacant building,Pasighat,Medical reports,Forensic Science Division,Under Investigation,Not convicted,Yes
Uttar Pradesh,1989,Burglary,Shoplifting at a local store,Lucknow,Financial transactions,K-9 Unit,Open,Partially convicted,No
Karnataka,1984,Forgery,Check forgery at a bank,Bijapur,Phone records,Criminal Investigation Division,Under Investigation,Convicted,No
Himachal Pradesh,1996,Cybercrime,Social media account hacking,Solan,"Digital evidence (e.g., emails, text messages)",Bureau of Investigation,Open,Convicted,No
Uttar Pradesh,2014,Hate Crime,Vandalism of synagogue with anti-Semitic graffiti,Agra,Character witness testimonies,Traffic Enforcement Unit,Closed,Not convicted,Yes
Andhra Pradesh,1998,Homicide,Mysterious death investigation,Tirupati,Financial transactions,Special Operations Division,Closed,Convicted,No
Assam,2023,Theft,Package theft from porches,Tinsukia,Confession statements,Fraud Investigation Unit,Open,Partially convicted,Yes
Madhya Pradesh,1986,Vandalism,Smashing car windows in a parking lot,Gwalior,Property ownership documents,Traffic Enforcement Unit,Under Investigation,Convicted,No
Tamil Nadu,2009,Vandalism,Smashing car windows in a parking lot,Madurai,Audio recordings,Major Crimes Unit,Under Investigation,Partially convicted,Yes
Sikkim,2015,Hate Crime,Assault on LGBTQ+ individual in a hate-motivated attack,Mangan,"Digital evidence (e.g., emails, text messages)",Cyber Crimes Unit,Closed,Not convicted,Yes
Nagaland,2020,Public Corruption,Corrupt city official siphons public funds for personal use,Mon,Vehicle registration records,Cyber Crimes Unit,Open,Partially convicted,Yes
Jharkhand,1996,Fraud,Credit card fraud,Ranchi,Phone records,Bureau of Investigation,Closed,Partially convicted,No
Kerala,2011,Kidnapping,Virtual kidnapping scam,Thiruvananthapuram,Character witness testimonies,Forensic Science Division,Under Investigation,Partially convicted,No
Haryana,2014,Robbery,Armed robbery at a convenience store,Karnal,Video surveillance footage,Victim Services Division,Under Investigation,Not convicted,No
Meghalaya,1971,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Tura,Financial transactions,K-9 Unit,Open,Partially convicted,Yes
Uttarakhand,1986,Assault,Physical altercation at a bar,Kashipur,Phone records,Traffic Enforcement Unit,Closed,Not convicted,Yes
Bihar,2008,Vandalism,Graffiti on public property,Arrah,Bank statements,Forensic Science Division,Closed,Not convicted,No
Kerala,2014,Child Abduction,Child abduction by a stranger at a playground,Kannur,Bank statements,City Police Department,Under Investigation,Partially convicted,Yes
Odisha,1995,Human Trafficking,Victims of human trafficking rescued from underground brothel,Balasore,Phone records,K-9 Unit,Open,Not convicted,No
Kerala,2007,Arson,Arson for insurance fraud,Kochi,Confession statements,Fraud Investigation Unit,Open,Convicted,Yes
Mizoram,1977,Public Intoxication,Public urination in a city park,Champhai,Phone records,Highway Patrol,Closed,Not convicted,Yes
Bihar,1992,Fraud,Credit card fraud,Bhagalpur,Vehicle registration records,K-9 Unit,Under Investigation,Convicted,No
Telangana,2023,Child Abduction,Child abduction by a stranger at a playground,Karimnagar,Forensic analysis reports,Major Crimes Unit,Closed,Convicted,Yes
Tripura,2017,Theft,Package theft from porches,Belonia,Forensic analysis reports,Bureau of Investigation,Open,Not convicted,No
Karnataka,2013,Kidnapping,Child abduction from a playground,Hubli,Financial transactions,Highway Patrol,Open,Convicted,Yes
Andhra Pradesh,2018,Money Laundering,Shell corporations established to disguise illicit funds as legitimate income,Vijayawada,Vehicle registration records,Metropolitan Police Department,Closed,Convicted,Yes
Punjab,1988,Embezzlement,Employee theft from a retail store,Mohali,Medical reports,Victim Services Division,Closed,Convicted,No
Jharkhand,1970,Fraudulent Schemes,"Fake investment company promises high returns, leaving investors penniless",Chirkunda,"Physical evidence (e.g., fingerprints, DNA)",Victim Services Division,Open,Not convicted,No
Assam,2017,Domestic Violence,Stalking by an ex-partner,Tinsukia,Property ownership documents,Major Crimes Unit,Closed,Not convicted,No
Andhra Pradesh,1996,Forgery,Check forgery at a bank,Guntur,Crime scene photographs,Highway Patrol,Closed,Convicted,Yes
Sikkim,1995,Organized Crime,Mafia family indicted on charges of racketeering and extortion,Pakyong,Vehicle registration records,Special Investigations Unit,Under Investigation,Not convicted,No
Karnataka,2004,Assault,Physical altercation at a bar,Hubli,"Physical evidence (e.g., fingerprints, DNA)",Metropolitan Police Department,Under Investigation,Convicted,Yes
Telangana,1970,Kidnapping,Hostage situation at a bank,Karimnagar,Property ownership documents,Narcotics Division,Open,Not convicted,No
Andhra Pradesh,2013,Domestic Violence,Spousal abuse in a domestic setting,Tirupati,Expert witness testimony,Narcotics Division,Open,Not convicted,No
Haryana,2012,Fraud,Tax evasion,Rohtak,Forensic analysis reports,Bureau of Investigation,Closed,Partially convicted,No
Odisha,1982,Arson,Wildfire arson in a forest,Berhampur,Medical reports,Traffic Enforcement Unit,Closed,Not convicted,No
Jharkhand,1985,Organized Crime,"Gang violence escalates, leading to multiple homicides",Jamshedpur,Financial transactions,State Police Department,Open,Convicted,No
Telangana,2009,Public Intoxication,Public urination in a city park,Khammam,Confession statements,Special Investigations Unit,Closed,Partially convicted,Yes
Kerala,2017,Kidnapping,Child abduction from a playground,Thrissur,Phone records,Community Policing Unit,Closed,Convicted,No
Haryana,1976,White-Collar Crime,Counterfeiting money operation,Panipat,"Digital evidence (e.g., emails, text messages)",Bureau of Investigation,Closed,Not convicted,No
West Bengal,1981,Cybercrime,Social media account hacking,Asansol,Expert witness testimony,Bureau of Investigation,Closed,Partially convicted,Yes
Telangana,1983,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Warangal,Bank statements,Special Investigations Unit,Closed,Convicted,No
Himachal Pradesh,2019,Cybercrime,Ransomware attack on a business network,Chamba,Character witness testimonies,Special Investigations Unit,Under Investigation,Convicted,No
Bihar,2005,Child Abduction,Amber Alert issued for missing child,Katihar,Video surveillance footage,City Police Department,Open,Convicted,Yes
Punjab,2015,Human Trafficking,"Forced labor operation discovered, exploiting migrant workers",Abohar,Confession statements,Forensic Science Division,Under Investigation,Partially convicted,No
Tamil Nadu,1978,Burglary,Office burglary during the night,Tiruchirappalli,Expert witness testimony,Special Investigations Unit,Closed,Partially convicted,No
Mizoram,1979,Child Abduction,Child abduction by a stranger at a playground,Lunglei,"Physical evidence (e.g., fingerprints, DNA)",Metropolitan Police Department,Closed,Not convicted,No
Chhattisgarh,2009,Domestic Violence,Stalking by an ex-partner,Durg,Crime scene photographs,Forensic Science Division,Under Investigation,Not convicted,Yes
Bihar,1989,Sexual Assault,Stranger rape in a dark alley,Patna,Photographic evidence,Metropolitan Police Department,Closed,Partially convicted,Yes
Andhra Pradesh,1985,Hate Crime,Transgender person assaulted in a hate crime fueled by prejudice,Kadapa,Phone records,Metropolitan Police Department,Open,Partially convicted,No
Nagaland,2005,Theft,Pickpocketing in a crowded market,Dimapur,Crime scene photographs,Homicide Unit,Closed,Convicted,Yes
Maharashtra,2001,Human Trafficking,Victims of human trafficking rescued from underground brothel,Vasai-Virar,Confession statements,City Police Department,Open,Convicted,No
Assam,1977,Robbery,Bank robbery with hostages,Bongaigaon,Character witness testimonies,Bureau of Investigation,Closed,Partially convicted,Yes
Manipur,1987,Fraud,Tax evasion,Mayang Imphal,Medical reports,Metropolitan Police Department,Closed,Convicted,Yes
Telangana,1990,Terrorist Attack,Chemical attack on government building leads to evacuation and decontamination efforts,Ramagundam,Forensic analysis reports,Major Crimes Unit,Open,Not convicted,Yes
Haryana,2003,White-Collar Crime,Insider trading on the stock market,Faridabad,Forensic analysis reports,SWAT Team,Under Investigation,Convicted,Yes
Madhya Pradesh,1983,Robbery,Armed robbery at a convenience store,Jabalpur,Crime scene photographs,Major Crimes Unit,Under Investigation,Partially convicted,Yes
Jharkhand,2000,Assault,Physical altercation at a bar,Jamshedpur,Character witness testimonies,Bureau of Investigation,Closed,Not convicted,No
Tripura,1971,Robbery,Bank robbery with hostages,Khowai,"Digital evidence (e.g., emails, text messages)",Special Investigations Unit,Under Investigation,Partially convicted,Yes
Nagaland,1982,Homicide,Gang-related shooting in a city street,Zunheboto,Crime scene photographs,City Police Department,Open,Not convicted,Yes
Assam,1981,Assault,Street fight between two individuals,Golaghat,Witness statements,City Police Department,Open,Convicted,No
West Bengal,2022,Fraud,Credit card fraud,Asansol,Forensic analysis reports,Community Policing Unit,Closed,Not convicted,No
Manipur,2000,Drug Trafficking,"Large drug bust at a warehouse, seizing tons of illicit substances",Ukhrul,Video surveillance footage,SWAT Team,Under Investigation,Not convicted,Yes
Meghalaya,1979,Organized Crime,Organized crime syndicate implicated in large-scale money laundering operation,Baghmara,Photographic evidence,Highway Patrol,Closed,Convicted,Yes
Andhra Pradesh,1999,Car Theft,Carjacking of a taxi cab by a lone assailant,Vijayawada,Audio recordings,Narcotics Division,Under Investigation,Convicted,No
Assam,1992,Human Trafficking,Human smuggling operation intercepted at the border,Golaghat,"Digital evidence (e.g., emails, text messages)",Community Policing Unit,Closed,Partially convicted,Yes
Goa,2008,Assault,Street fight between two individuals,Margao,Eyewitness accounts,Community Policing Unit,Under Investigation,Not convicted,Yes
Sikkim,2013,Drug Trafficking,Drug kingpin arrested after years of investigation by law enforcement,Namchi,Witness statements,Community Policing Unit,Under Investigation,Convicted,No
Telangana,2007,Drug Possession,Drug deal in a park,Adilabad,Crime scene photographs,Fraud Investigation Unit,Closed,Convicted,Yes
Haryana,1981,Human Trafficking,"Forced labor operation discovered, exploiting migrant workers",Sonipat,Financial transactions,City Police Department,Under Investigation,Partially convicted,No
Arunachal Pradesh,1977,Arson,Setting fire to a vacant building,Tezu,Witness statements,Cyber Crimes Unit,Open,Partially convicted,Yes
Odisha,1989,Armed Robbery,Armored truck hijacked by criminals wielding handguns,Cuttack,Witness statements,State Police Department,Closed,Partially convicted,Yes
Chhattisgarh,1980,Child Abduction,Amber Alert issued for missing child,Durg,Forensic analysis reports,Criminal Investigation Division,Under Investigation,Convicted,No
Karnataka,1975,Public Intoxication,Underage drinking at a party,Bellary,Eyewitness accounts,Special Investigations Unit,Closed,Not convicted,Yes
Tamil Nadu,1999,Vandalism,Smashing car windows in a parking lot,Thoothukkudi,"Digital evidence (e.g., emails, text messages)",Bureau of Investigation,Under Investigation,Convicted,No
Jharkhand,2012,Terrorism,Cyberterrorism targeting critical infrastructure,Medininagar,Video surveillance footage,Narcotics Division,Under Investigation,Partially convicted,Yes
Mizoram,2006,Car Theft,"Vehicle theft ring dismantled by police, recovering multiple stolen cars",Lunglei,Witness statements,Traffic Enforcement Unit,Under Investigation,Partially convicted,Yes
Jharkhand,1993,Public Corruption,"Judicial bribery scandal rocks the legal system, leading to multiple arrests",Hazaribagh,Expert witness testimony,Forensic Science Division,Closed,Partially convicted,No
Karnataka,2014,Domestic Violence,Child abuse within a family,Bangalore,Character witness testimonies,Special Operations Division,Closed,Convicted,Yes
Chhattisgarh,1982,Car Theft,Luxury SUV stolen from a suburban driveway overnight,Raigarh,Confession statements,Special Investigations Unit,Under Investigation,Not convicted,No
Kerala,1986,Theft,Grand theft auto of a luxury vehicle,Malappuram,Audio recordings,Special Investigations Unit,Open,Partially convicted,Yes
Himachal Pradesh,1970,Arson,Arson for insurance fraud,Dharamshala,"Digital evidence (e.g., emails, text messages)",SWAT Team,Under Investigation,Not convicted,Yes
Jharkhand,2019,Organized Crime,Organized crime syndicate implicated in large-scale money laundering operation,Deoghar,Confession statements,Forensic Science Division,Under Investigation,Partially convicted,No
Odisha,2009,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Cuttack,Audio recordings,Traffic Enforcement Unit,Closed,Partially convicted,No
Odisha,2014,Money Laundering,Real estate purchases made with illegally obtained cash to launder funds,Baripada,Confession statements,Victim Services Division,Closed,Not convicted,No
Tripura,2015,Kidnapping,Child abduction from a playground,Khowai,Financial transactions,Victim Services Division,Open,Not convicted,Yes
Rajasthan,1993,Vandalism,Defacing a monument,Alwar,Medical reports,Forensic Science Division,Closed,Not convicted,No
Maharashtra,2011,Assault,Domestic dispute turned violent,Vasai-Virar,Medical reports,State Police Department,Open,Convicted,Yes
Meghalaya,1975,Human Trafficking,"Undercover operation infiltrates human trafficking network, making arrests",Williamnagar,"Physical evidence (e.g., fingerprints, DNA)",Highway Patrol,Open,Partially convicted,Yes
Manipur,2005,Fraud,Tax evasion,Kangpokpi,Confession statements,Traffic Enforcement Unit,Closed,Not convicted,Yes
Haryana,2001,Embezzlement,Employee theft from a retail store,Rohtak,Witness statements,City Police Department,Open,Convicted,No
Mizoram,2013,Homicide,Gang-related shooting in a city street,Khawzawl,"Digital evidence (e.g., emails, text messages)",SWAT Team,Under Investigation,Partially convicted,Yes
Sikkim,1996,Vandalism,Smashing car windows in a parking lot,Namchi,"Digital evidence (e.g., emails, text messages)",Cyber Crimes Unit,Under Investigation,Convicted,Yes
Punjab,1999,Embezzlement,Corporate embezzlement scheme,Amritsar,Vehicle registration records,Traffic Enforcement Unit,Under Investigation,Not convicted,No
Manipur,2023,Hate Crime,"Arson at mosque during prayer service, causing extensive damage",Kangpokpi,"Physical evidence (e.g., fingerprints, DNA)",City Police Department,Closed,Convicted,No
Himachal Pradesh,1993,Cybercrime,Identity theft through phishing emails,Kangra,Vehicle registration records,Narcotics Division,Closed,Partially convicted,Yes
Haryana,2001,Organized Crime,"Illegal gambling ring busted, dismantling criminal enterprise",Gurgaon,Photographic evidence,City Police Department,Closed,Not convicted,Yes
Kerala,2011,Human Trafficking,"Undercover operation infiltrates human trafficking network, making arrests",Kannur,Crime scene photographs,Highway Patrol,Closed,Partially convicted,Yes
Odisha,2017,Organized Crime,"Gang violence escalates, leading to multiple homicides",Bhadrak,Audio recordings,Special Operations Division,Closed,Not convicted,No
Telangana,2013,Embezzlement,Corporate embezzlement scheme,Mahbubnagar,Photographic evidence,Fraud Investigation Unit,Open,Partially convicted,Yes
Odisha,2007,Fraudulent Schemes,Identity theft ring steals identities to open fraudulent bank accounts,Balasore,Video surveillance footage,Fraud Investigation Unit,Open,Convicted,Yes
Kerala,1972,Fraud,Tax evasion,Kottayam,Witness statements,Cyber Crimes Unit,Under Investigation,Convicted,No
Chhattisgarh,1979,Armed Robbery,Armored truck hijacked by criminals wielding handguns,Bhilai,Eyewitness accounts,Highway Patrol,Open,Convicted,Yes
Uttarakhand,2006,Sexual Assault,Sexual assault by a trusted authority figure,Ramnagar,Photographic evidence,K-9 Unit,Closed,Convicted,No
Jharkhand,2005,Terrorist Attack,Terrorist cell carries out coordinated attacks on public transportation,Bokaro Steel City,Video surveillance footage,Forensic Science Division,Closed,Partially convicted,Yes
Nagaland,1989,Domestic Violence,Child abuse within a family,Zunheboto,"Physical evidence (e.g., fingerprints, DNA)",Cyber Crimes Unit,Under Investigation,Partially convicted,No
Karnataka,2007,Armed Robbery,Gas station attendant threatened with a knife during a robbery,Mysore,Character witness testimonies,Cyber Crimes Unit,Open,Not convicted,No
Tripura,2015,Drug Trafficking,Drug kingpin arrested after years of investigation by law enforcement,Kailasahar,Audio recordings,Criminal Investigation Division,Closed,Convicted,Yes
Himachal Pradesh,1988,White-Collar Crime,Insider trading on the stock market,Hamirpur,Confession statements,Homicide Unit,Closed,Convicted,Yes
Rajasthan,2017,Cybercrime,Ransomware attack on a business network,Jodhpur,"Physical evidence (e.g., fingerprints, DNA)",City Police Department,Under Investigation,Partially convicted,No
Chhattisgarh,1990,Public Intoxication,Public urination in a city park,Jagdalpur,Photographic evidence,Cyber Crimes Unit,Open,Convicted,Yes
Haryana,2005,Fraud,Insurance fraud scheme,Panchkula,Confession statements,Criminal Investigation Division,Under Investigation,Partially convicted,No
Goa,1987,Terrorism,Bombing at a crowded public event,Mormugao,Vehicle registration records,Special Investigations Unit,Closed,Not convicted,No
Manipur,2006,Drug Trafficking,Drug mules apprehended at an airport carrying drugs in their luggage,Jiribam,Photographic evidence,Fraud Investigation Unit,Closed,Partially convicted,No
Kerala,2014,Embezzlement,Employee theft from a retail store,Malappuram,Property ownership documents,State Police Department,Open,Partially convicted,No
Andhra Pradesh,2001,Assault,Street fight between two individuals,Visakhapatnam,Character witness testimonies,Bureau of Investigation,Closed,Convicted,No
Mizoram,1991,Car Theft,"Chop shop operation busted, dismantling stolen cars for parts",Kolasib,Medical reports,Major Crimes Unit,Open,Partially convicted,Yes
Nagaland,2019,Child Abduction,Amber Alert issued for missing child,Zunheboto,Bank statements,Special Operations Division,Open,Not convicted,Yes
Gujarat,1975,Fraudulent Schemes,Telemarketing scam deceives elderly victims into wiring money,Surat,Phone records,Victim Services Division,Under Investigation,Partially convicted,Yes
Tripura,1971,Embezzlement,Employee theft from a retail store,Dharmanagar,Audio recordings,Cyber Crimes Unit,Under Investigation,Partially convicted,No
Manipur,1996,Organized Crime,Mafia family indicted on charges of racketeering and extortion,Lilong,Audio recordings,Metropolitan Police Department,Closed,Not convicted,Yes
Tripura,2006,Drug Trafficking,Undercover sting operation targeting drug dealers in a high-crime area,Khowai,Expert witness testimony,Metropolitan Police Department,Closed,Partially convicted,No
Sikkim,1985,Homicide,Gang-related shooting in a city street,Namchi,Photographic evidence,K-9 Unit,Closed,Partially convicted,No
Mizoram,2008,Organized Crime,"Drug cartel turf war erupts, resulting in wave of violence in the city",Hnahthial,Eyewitness accounts,Special Investigations Unit,Closed,Partially convicted,Yes
Punjab,1997,Embezzlement,Corporate embezzlement scheme,Hoshiarpur,Property ownership documents,State Police Department,Open,Not convicted,Yes
Haryana,2014,Drug Trafficking,Drug kingpin arrested after years of investigation by law enforcement,Hisar,Property ownership documents,Community Policing Unit,Closed,Convicted,Yes
Kerala,1988,Robbery,Bank robbery with hostages,Kottayam,Video surveillance footage,Bureau of Investigation,Under Investigation,Convicted,Yes
